gene	disease
CSMD1	Schizophrenia;Autistic disorder of childhood onset
CSNK1D	Advanced sleep phase syndrome, familial, 2
CSNK1E	Epileptic encephalopathy, early infantile, 1
CSNK2A1	Inborn genetic diseases;Okur-chung neurodevelopmental syndrome
CSNK2B	Intellectual disability and seizures;Inborn genetic diseases
CSPP1	Joubert syndrome 21;Meckel-Gruber syndrome
CSRP3	Dilated cardiomyopathy;Familial hypertrophic cardiomyopathy 12;Cardiomyopathy
CST3	Hereditary cerebral amyloid angiopathy, Icelandic type;Age-related macular degeneration 11
CSTA	Exfoliative ichthyosis, autosomal recessive, ichthyosis bullosa of siemens-like
CSTB	Aplasia/Hypoplasia of the corpus callosum;Global brain atrophy;Progressive myoclonic epilepsy;Rolandic epilepsy;Progressive microcephaly;Unverricht-Lundborg syndrome;Motor delay;Dyskinesia;Intellectual disability, severe;Dystonia;Severe global developmental delay
CTC1	Cerebroretinal microangiopathy with calcifications and cysts;Cerebroretinal microangiopathy with calcifications and cysts 1;Dyskeratosis congenita
CTCF	Mental retardation, autosomal dominant 21;Inborn genetic diseases
CTDP1	Congenital Cataracts, Facial Dysmorphism, and Neuropathy
CTH	Cystathioninuria
CTHRC1	Barrett esophagus/esophageal adenocarcinoma
CTLA4	Hashimoto thyroiditis, susceptibility to;Autoimmune lymphoproliferatiVe syndrome, type V;Celiac disease 3
CTNNA1	Retinal dystrophy;Macular dystrophy, patterned, 2;Hereditary cancer-predisposing syndrome
CTNNA2	CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 9
CTNNA3	Arrhythmogenic right ventricular cardiomyopathy;Arrhythmogenic right ventricular dysplasia, familial, 13
CTNNB1	Cutaneous melanoma;Ovarian Neoplasms;Carcinoma of colon;Squamous cell carcinoma of the head and neck;Adenocarcinoma of stomach;Craniopharyngioma;Hepatocellular carcinoma;Neoplasm;Transitional cell carcinoma of the bladder;Absent speech;Neoplasm of brain;Mental retardation, autosomal dominant 19;EXUDATIVE VITREORETINOPATHY 7;Wilms Tumor;ADRENAL CORTICAL NEOPLASM;Esophageal Squamous Cell Carcinoma;Adrenocortical carcinoma;Medulloblastoma;Lung adenocarcinoma;Malignant neoplasm of body of uterus;Uterine cervical neoplasms;Global developmental delay;Teratoma;Microcephaly;Neoplasm of the parathyroid gland;Pancreatic adenocarcinoma;Exudative vitreoretinopathy 1;Imperforate anus;Hepatoblastoma;Pilomatrixoma;Disease;Neoplasm of stomach;Neoplasm of the large intestine;Carcinoma of esophagus;Malignant melanoma of skin;Inborn genetic diseases;Adenocarcinoma of prostate;Endometrial neoplasm
CTNND1	BLEPHAROCHEILODONTIC SYNDROME 2
CTNND2	Schizophrenia;Inborn genetic diseases
CTNS	Cystinosis, atypical nephropathic;Nephropathic cystinosis;Cystinosis;Cystinosis, ocular nonnephropathic;Juvenile nephropathic cystinosis
CTRC	Chronic pancreatitis;Hereditary pancreatitis;Pancreatitis, chronic, susceptibility to
CTSA	Combined deficiency of sialidase AND beta galactosidase;Non-immune hydrops fetalis;Galactosialidosis, adult;Galactosialidosis, late infantile;Galactosialidosis, early infantile
CTSC	Haim-Munk syndrome;Periodontitis, aggressive, 1;Papillon-Lefèvre syndrome
CTSD	Exaggerated startle response;Ceroid lipofuscinosis neuronal 10;Severe microlissencephaly
CTSF	Ceroid lipofuscinosis, neuronal, 13;Seizures
CTSK	Pyknodysostosis;Inborn genetic diseases
CTU2	MICROCEPHALY, FACIAL DYSMORPHISM, RENAL AGENESIS, AND AMBIGUOUS GENITALIA SYNDROME
CUBN	Megaloblastic anemia 1, Finnish type;Megaloblastic anemia due to inborn errors of metabolism
CUL3	Pseudohypoaldosteronism, type 2;Pseudohypoaldosteronism type 2E;Inborn genetic diseases
CUL4B	Global developmental delay;Syndromic X-linked mental retardation, Cabezas type;Schizophrenia;Pettigrew syndrome;Autistic disorder of childhood onset;Intellectual disability;Inborn genetic diseases;Short stature;Seizures;Abnormal facial shape
CUL7	Yakut short stature syndrome;Three M syndrome;Three M syndrome 1
CUX1	GLOBAL DEVELOPMENTAL DELAY WITH OR WITHOUT IMPAIRED INTELLECTUAL DEVELOPMENT
CUX2	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 67
CWC27	Retinitis pigmentosa with or without skeletal anomalies
CWF19L1	Spinocerebellar ataxia, autosomal recessive 17
CXCR4	Warts, hypogammaglobulinemia, infections, and myelokathexis;Myelokathexis, isolated
CXorf56	MENTAL RETARDATION, X-LINKED 107
CYB561	ORTHOSTATIC HYPOTENSION 2
CYB5A	Methemoglobinemia type 4
CYB5R3	Hereditary methemoglobinemia;Methemoglobinemia type 2;Methemoglobinemia, type I
CYBA	Chronic granulomatous disease;Granulomatous disease, chronic, autosomal recessive, cytochrome b-negative
CYBB	Schizophrenia;Autistic disorder of childhood onset;Chronic granulomatous disease, X-linked
CYC1	Mitochondrial complex III deficiency, nuclear type 6
CYCS	Thrombocytopenia 4
CYFIP1	Schizophrenia;Autistic disorder of childhood onset
CYFIP2	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 65
CYLD	Spiegler-Brooke syndrome;Cylindromatosis, familial;Familial multiple trichoepitheliomata
CYP11A1	Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete
CYP11B1	Hyperaldosteronism, familial, type I;Deficiency of steroid 11-beta-monooxygenase;Congenital adrenal hyperplasia
CYP11B2	Corticosterone methyloxidase type 1 deficiency;Corticosterone methyloxidase type 2 deficiency
CYP17A1	Combined partial 17-alpha-hydroxylase/17,20-lyase deficiency;Isolated 17,20-lyase deficiency;Complete combined 17-alpha-hydroxylase/17,20-lyase deficiency;Deficiency of steroid 17-alpha-monooxygenase
CYP19A1	Aromatase deficiency
CYP1B1	Glaucoma, primary open angle, juvenile-onset;Glaucoma 3, primary congenital, A;Anterior segment dysgenesis 6;Irido-corneo-trabecular dysgenesis
CYP21A2	Classic congenital adrenal hyperplasia due to 21-hydroxylase deficiency
CYP24A1	Idiopathic hypercalcemia of infancy
CYP27A1	Cholestanol storage disease
CYP27B1	Vitamin D-dependent rickets, type 1
CYP2C8	DRUG METABOLISM, ALTERED, CYP2C8-RELATED
CYP2C9	Warfarin response
CYP2E1	Premature ovarian failure;Primary amenorrhea
CYP2R1	Vitamin d hydroxylation-deficient rickets, type 1b
CYP2U1	Spastic paraplegia;Spastic paraplegia 56, autosomal recessive
CYP4F22	Autosomal recessive congenital ichthyosis 5
CYP4V2	Retinitis pigmentosa;Bietti crystalline corneoretinal dystrophy
CYP7B1	Spastic paraplegia 5A;Hereditary spastic paraplegia;Spastic paraplegia;Bile acid synthesis defect, congenital, 3
CYSLTR1	Phosphoglycerate kinase 1 deficiency
D2HGDH	D-2-hydroxyglutaric aciduria;D-2-hydroxyglutaric aciduria 1
DACT1	DACT1-related neural tube defects;Townes-Brocks syndrome 2
DAG1	Limb-girdle muscular dystrophy-dystroglycanopathy, type C9;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 9
DARS	Hypomyelination with brainstem and spinal cord involvement and leg spasticity;Abnormality of brain morphology
DARS2	Sensorimotor neuropathy;Abnormality of the foot;Gout;Gait imbalance;Cerebral cortical atrophy;Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation;Leukoencephalopathy with Brainstem and Spinal Cord Involvement and Lactate Elevation;Hypertension;Difficulty walking;EMG: axonal abnormality;Impaired vibration sensation in the lower limbs;CNS demyelination;Dysmetria;Inborn genetic diseases;Talipes equinovarus;Gait ataxia
DAXX	Metastatic pancreatic neuroendocrine tumours
DAZL	Spermatogenic failure, susceptibility to
DBH	Dopamine beta hydroxylase deficiency
DBT	Maple syrup urine disease, thiamine-responsive, type II;Intermediate maple syrup urine disease type 2;Maple syrup urine disease type 2;Maple syrup urine disease
DCAF17	Hypogonadism, diabetes mellitus, alopecia, mental retardation and electrocardiographic abnormalities
DCAF6	Cerebral visual impairment and intellectual disability
DCAF8	Giant axonal neuropathy 2, autosomal dominant
DCC	Corpus callosum agenesis;Mirror movements 1;Developmental Split Brain Syndrome;Esophageal carcinoma, somatic;Carcinoma of colon;Bone marrow hypocellularity
DCDC2	Nephronophthisis 19;Deafness, autosomal recessive 66;Sclerosing cholangitis, neonatal;Nonsyndromic Deafness
DCHS1	Mitral valve prolapse 2;Van Maldergem syndrome 1
DCLRE1C	Severe combined immunodeficiency with sensitivity to ionizing radiation;Histiocytic medullary reticulosis;Severe combined immunodeficiency, partial
DCN	Congenital Stromal Corneal Dystrophy
DCPS	AL-RAQAD SYNDROME
DCTN1	Distal hereditary motor neuronopathy type 7B;Amyotrophic lateral sclerosis, susceptibility to;Amyotrophic lateral sclerosis type 1;Perry syndrome
DCX	Fucosidosis;Schizophrenia;Subcortical laminar heterotopia, X-linked;Heterotopia;Autistic disorder of childhood onset;Abnormal cortical gyration;Lissencephaly, X-linked
DDB2	Xeroderma pigmentosum, group E
DDC	Deficiency of aromatic-L-amino-acid decarboxylase
DDHD2	Global developmental delay;Spastic paraplegia 54, autosomal recessive;Obesity;Generalized epilepsy
DDOST	Congenital disorder of glycosylation type Ir
DDR2	Squamous cell lung carcinoma;Warburg-Cinotti syndrome;Non-small cell lung cancer;Spondylometaepiphyseal dysplasia short limb-hand type;Squamous cell carcinoma
DDRGK1	Spondyloepimetaphyseal dysplasia Shohat type
DDX11	Warsaw breakage syndrome;Inborn genetic diseases
DDX3X	Schizophrenia;Autistic disorder of childhood onset;Mental retardation, X-linked 102;Inborn genetic diseases;Cerebellar vermis hypoplasia;History of neurodevelopmental disorder
DDX41	Myeloproliferative/lymphoproliferative neoplasms, familial (multiple types), susceptibility to;Acute myeloid leukemia
DDX58	Singleton-Merten syndrome 2
DDX59	Orofaciodigital syndrome 5
DEAF1	Autism spectrum disorder;Inborn genetic diseases;Dyskinesia, seizures, and intellectual developmental disorder;Mental retardation, autosomal dominant 24
DEGS1	Leukodystrophy;LEUKODYSTROPHY, HYPOMYELINATING, 18
DENND4B	Mental retardation, autosomal dominant 18;Short stature
DENND5A	Epileptic encephalopathy, early infantile, 49
DEPDC5	Rolandic epilepsy;Seizures;Epilepsy, familial focal, with variable foci 1
DES	Arrhythmogenic right ventricular cardiomyopathy;Muscular dystrophy, limb-girdle, type 2R;Myofibrillar myopathy 1;Dilated cardiomyopathy 1S
DGAT1	Diarrhea 7
DGKE	Atypical hemolytic uremic syndrome;Hemolytic uremic syndrome, atypical, susceptibility to, 7;Nephrotic syndrome, type 7;Hemolytic-uremic syndrome
DGKZ	atypical cerebral palsy
DGUOK	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 4;MITOCHONDRIAL DNA DEPLETION SYNDROME 3;Portal hypertension, noncirrhotic;Mitochondrial DNA-depletion syndrome 3, hepatocerebral
DHCR24	Desmosterolosis
DHCR7	Small for gestational age;Elevated 7-dehydrocholesterol;Congenital microcephaly;Inborn genetic diseases;2-3 toe syndactyly;Smith-Lemli-Opitz syndrome;History of neurodevelopmental disorder
DHDDS	Retinitis pigmentosa;DEVELOPMENTAL DELAY AND SEIZURES WITH OR WITHOUT MOVEMENT ABNORMALITIES;Congenital disorder of glycosylation type 1bb;Retinitis pigmentosa 59
DHFR	Megaloblastic anemia due to dihydrofolate reductase deficiency
DHH	46,XY sex reversal, type 7;46,XY gonadal dysgenesis, complete, dhh-related;46,XY gonadal dysgenesis, partial, with minifascicular neuropathy
DHODH	Miller syndrome
DHTKD1	Charcot-Marie-Tooth disease, axonal, type 2Q;2-aminoadipic 2-oxoadipic aciduria
DHX30	Failure to thrive;Hearing impairment;Intellectual disability;Global developmental delay;NEURODEVELOPMENTAL DISORDER WITH SEVERE MOTOR IMPAIRMENT AND ABSENT LANGUAGE;EEG abnormality;Sleep disturbance;Delayed speech and language development;Microcephaly;Muscular hypotonia of the trunk;Unsteady gait;Generalized hypotonia;Oculomotor apraxia;Hirsutism;Seizures;Strabismus;Short stature
DHX37	Abnormality of brain morphology
DHX38	Retinitis pigmentosa 84
DIAPH1	Global developmental delay;Seizure disorder;Seizures, cortical blindness, and microcephaly syndrome;Failure to thrive;Deafness, autosomal dominant 1;Microcephaly
DIAPH2	Primary amenorrhea
DICER1	Pleuropulmonary blastoma;Goiter, multinodular 1, with or without Sertoli-Leydig cell tumors;DICER1-related pleuropulmonary blastoma cancer predisposition syndrome;Pineoblastoma;Rhabdomyosarcoma, embryonal, 2;Hereditary cancer-predisposing syndrome
DIPK2B	Autistic disorder of childhood onset
DIS3L2	Nephroblastoma;Renal hamartomas nephroblastomatosis and fetal gigantism
DISC1	Autistic disorder of childhood onset
DISP1	microform holoprosencephaly
DKC1	Schizophrenia;Hoyeraal Hreidarsson syndrome;Autistic disorder of childhood onset;Dyskeratosis congenita X-linked;Dyskeratosis congenita
DLAT	Pyruvate dehydrogenase E2 deficiency
DLC1	Carcinoma of colon;Neural tube defect
DLD	Maple syrup urine disease, type 3
DLG2	Schizophrenia
DLG3	Schizophrenia;X-Linked mental retardation 90;Autistic disorder of childhood onset;Inborn genetic diseases
DLG4	Cerebral visual impairment and intellectual disability
DLL3	Spondylocostal dysostosis 1, autosomal recessive
DLL4	Adams-Oliver syndrome;Inborn genetic diseases;Adams-Oliver syndrome 6
DLX3	Amelogenesis imperfecta, type IV;Amelogenesis imperfecta;Tricho-dento-osseous syndrome;Peripheral pulmonary artery stenosis
DLX4	Orofacial cleft 15
DLX5	Split-hand/foot malformation 1 with sensorineural hearing loss;Split-hand/foot malformation 1
DMBX1	Global developmental delay;Hypermetropia;Hearing impairment;Strabismus;Seizures;Muscular hypotonia
DMD	Duchenne muscular dystrophy;Exercise-induced rhabdomyolysis;Exercise-induced muscle stiffness;Atrial septal defect;Muscle weakness;Muscle cramps;MUSCULAR DYSTROPHY, DUCHENNE TYPE;Duchenne muscular dystrophy, mental retardation, and absence of erg b-wave;Ptosis;Exercise-induced myalgia;Abnormal muscle fiber dystrophin expression;Cardiomyopathy;Proptosis;Progressive muscle weakness;Muscular dystrophy;Decreased body weight;Schizophrenia;Clinodactyly of the 5th finger;Becker muscular dystrophy; DMD;Pectus excavatum;Exercise-induced muscle cramps;Motor delay;Progressive proximal muscle weakness;Muscular Diseases;Intermediate muscular dystrophy;Exercise-induced muscle fatigue;Autistic disorder of childhood onset;Dilated cardiomyopathy 3B;EMG: myopathic abnormalities;Elevated serum creatine phosphokinase;Calf muscle hypertrophy;EMG abnormality;Primary dilated cardiomyopathy;Short stature
DMP1	Hypophosphatemic rickets;Autosomal recessive hypophosphatemic vitamin D refractory rickets
DMPK	Steinert myotonic dystrophy syndrome
DMRT1	46,XY sex reversal, type 4
DMXL2	DEAFNESS, AUTOSOMAL DOMINANT 71;Polyendocrine-polyneuropathy syndrome
DNA2	Seckel syndrome 8;Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 6;Ateleiotic dwarfism
DNAAF1	Ciliary dyskinesia, primary, 13;Ciliary dyskinesia;Kartagener syndrome
DNAAF2	Ciliary dyskinesia;Kartagener syndrome;Ciliary dyskinesia, primary, 10
DNAAF3	Ciliary dyskinesia;Kartagener syndrome;Ciliary dyskinesia, primary, 2
DNAAF4	Primary ciliary dyskinesia 25;Ciliary dyskinesia
DNAAF5	Ciliary dyskinesia, primary, 18;Ciliary dyskinesia
DNAH1	SPERMATOGENIC FAILURE 18;Kartagener syndrome;Ciliary dyskinesia, primary, 37
DNAH11	CILIARY DYSKINESIA, PRIMARY, 7, WITH SITUS INVERSUS;Ciliary dyskinesia;Ciliary dyskinesia, primary, 7
DNAH17	Short stature
DNAH5	Kartagener syndrome;Ciliary dyskinesia;Ciliary dyskinesia, primary, 3;Primary Ciliary Dyskinesia (DNAH5-related);Inborn genetic diseases
DNAH7	Dyspnea;Abnormality of the basal ganglia;Hypoplasia of the corpus callosum;Situs inversus;Ciliary dyskinesia;Seizures;Abnormal muscle tone
DNAH8	Ciliary dyskinesia
DNAH9	CILIARY DYSKINESIA, PRIMARY, 40
DNAI1	Kartagener syndrome;Ciliary dyskinesia
DNAI2	Ciliary dyskinesia;Kartagener syndrome;Ciliary dyskinesia, primary, 9
DNAJB11	POLYCYSTIC KIDNEY DISEASE 6 WITH OR WITHOUT POLYCYSTIC LIVER DISEASE
DNAJB13	Ciliary dyskinesia, primary, 34
DNAJB2	Spinal muscular atrophy, distal, autosomal recessive, 5;Charcot-Marie-Tooth disease, axonal, type 2T;Charcot-Marie-Tooth disease
DNAJB5	Skeletal myopathy;Peripheral neuropathy
DNAJB6	Limb-girdle muscular dystrophy, type 1E
DNAJC12	Hyperphenylalaninemia, mild, non-bh4-deficient
DNAJC19	3-methylglutaconic aciduria type V
DNAJC21	Cognitive impairment;Pectus excavatum;Inherited bone marrow failure syndrome;Abnormality of the tongue;Pancytopenia;Webbed neck;Acute myeloid leukemia;Bone marrow failure syndrome 3;Short stature
DNAJC5	Neuronal ceroid lipofuscinosis;Ceroid lipofuscinosis neuronal 4B autosomal dominant
DNAJC6	Parkinson disease 19a, juvenile-onset;Parkinson disease 19b, early-onset
DNAL1	Ciliary dyskinesia;Kartagener syndrome;Ciliary dyskinesia, primary, 16
DNAL4	Mirror movements 3
DNASE1	Systemic lupus erythematosus, susceptibility to
DNM1	Epileptic encephalopathy;Stereotypy;Seizures;Epileptic encephalopathy, early infantile, 31;Global developmental delay;Cerebellar ataxia;Inborn genetic diseases;Muscular hypotonia
DNM1L	Encephalopathy due to defective mitochondrial and peroxisomal fission 1;Optic atrophy 5
DNM2	Lethal congenital contracture syndrome 5;Charcot-Marie-Tooth disease, dominant intermediate B;Severe X-linked myotubular myopathy;Charcot-Marie-Tooth disease, type 2M;Myopathy, centronuclear;Charcot-Marie-Tooth disease, dominant intermediate b, with neutropenia;Myopathy, centronuclear, 1;Charcot-Marie-Tooth disease
DNMBP	CATARACT 48
DNMT1	Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant;Meningioma;Hereditary sensory neuropathy type IE
DNMT3A	Acute myeloid leukemia;Tatton-Brown-rahman syndrome;Myelodysplastic syndrome;Early T cell progenitor acute lymphoblastic leukemia;Lung adenocarcinoma;Glioblastoma;Inborn genetic diseases
DNMT3B	Centromeric instability of chromosomes 1,9 and 16 and immunodeficiency
DOCK1	Inborn genetic diseases
DOCK2	Immunodeficiency 40
DOCK3	Global developmental delay;NEURODEVELOPMENTAL DISORDER WITH IMPAIRED INTELLECTUAL DEVELOPMENT, HYPOTONIA, AND ATAXIA;Inborn genetic diseases;Muscular hypotonia
